question,solution
hàm ReLu của python,"def relu_like_activation(l):
    return[0 if x < 0 else x for x in l]

"
hàm sigmoid python,"def sigmoid_activation(l):
    return[round(1/(1+math.exp(-x)),2) for x in l]

"
hàm python để xác định các từ tục tĩu,"def profane_filter(str):
    profane_word_url = ""https://raw.githubusercontent.com/RobertJGabriel/Google-profanity-words/master/list.txt""
    file = urllib.request.urlopen(profane_word_url)
    for line in file:
        decoded_line = line.decode(""utf-8"")
    return decoded_line
    str = re.findall(r'\w+', str)
    return [i for i in str if i in decoded_line]

"
Hàm python để thêm số muber vào danh sách,"def add_even_num(l):
    sum = reduce(lambda a, b: a + b, filter(lambda a: (a % 2 == 0), l))
    return sum

"
hàm python để tìm diện tích hình tròn,"def circle_area(r):
    return 22/7 * r**2

"
chương trình python để kiểm tra xem một số có phải là số nguyên tố hay không,"def test_prime(n):
    if (n==1):
        return False
    elif (n==2):
        return True;
    else:
        for x in range(2,n):
            if(n % x==0):
                return False
        return True             

"
hàm python để trả về các khối của danh sách các số,"def cube(n):
   return [i*i*i for i in range(n)]

"
Hàm python để tìm trung bình cộng của các số đã cho,"def average():
    numbers = []
    def add(number):
        numbers.append(number)
        total = sum(numbers)
        count = len(numbers)
        return total/count
    return add
a = average()
a(10)
a(20)
a(45)

"
Hàm python để tạo bộ cộng,"def create_adders():
    adders = []
    for n in range(1, 4):
        adders.append(lambda x, y=n: x + y)
    return adders
adders = create_adders()

"
hàm python cho ngày giờ,"from datetime import datetime
datetime.utcnow()
def log(msg, *, dt = datetime.utcnow()):
    print(f'Message at {dt} was {msg}')

"
hàm python để đếm tham chiếu địa chỉ,"import ctypes
def ref_count(address : int): 
    return ctypes.c_long.from_address(address).value

"
hàm python để sửa đổi một bộ dữ liệu,"def modify_tuple(t):
    print(f'Initial t mem-add = {id(t)}')
    t[0].append(100)
    print(f'Final t mem-add = {id(t)}')

"
chương trình python để so sánh chuỗi,"def compare_using_equals(n):
    a = 'a long string that is not intered' * 200
    b = 'a long string that is not intered' * 200
    for i in range(n):
        if a == b:
            pass

"
chương trình python để so sánh các chuỗi bằng cách sử dụng thực tập,"import sys
def compare_using_interning(n):
    a = sys.intern('a long string that is not intered' * 200)
    b = sys.intern('a long string that is not intered' * 200)
    for i in range(n):
        if a is b:
            pass

"
chương trình python để tính thời gian cần thiết để tạo số float và số thập phân,"import time
def run_float(n = 1):
    for i in range(n):
        a = 3.1415

def run_decimal(n = 1):
    for i in range(n):
        a = Decimal('3.1415')
n = 10000000
start = time.perf_counter()
run_float(n)
end = time.perf_counter()

print ('float: ', end - start)

start = time.perf_counter()
run_decimal(n)
end = time.perf_counter()

print ('decimal: ', end - start)

"
hàm python cho giai thừa bằng cách sử dụng giảm,"def fact(n):
    from operator import mul
    from functools import reduce
    return reduce(mul, range(1, n+1))
fact(10)

"
chương trình python để tìm xem tọa độ đã cho có nằm trong vòng tròn không,"from random import uniform
from math import sqrt
def random_shot(rad):
    r_x = uniform(-rad, rad)
    r_y = uniform(-rad, rad)

    if sqrt(r_x**2 + r_y**2) <= rad:
        is_in_circle = True
    else:
        is_in_circle = False
    
    return r_x, r_y, is_in_circle

"
hàm python để tìm diện tích hình tròn,"def square_area(x):
    return x ** 2

"
chương trình python tính tổng n số đầu tiên.,"def sum_n_num(n):
    return n * (n + 1)/2

"
Chương trình Python để thêm hai danh sách," 
NumList1 = []
NumList2 = []
total = []

Number = int(input(""Please enter the Total Number of List Elements: ""))
print(""Please enter the Items of a First and Second List   "")
for i in range(1, Number + 1):
    List1value = int(input(""Please enter the %d Element of List1 : "" %i))
    NumList1.append(List1value)

    List2value = int(input(""Please enter the %d Element of List2 : "" %i))
    NumList2.append(List2value)
    
for j in range(Number):
    total.append( NumList1[j] + NumList2[j])
 
print(""\nThe total Sum of Two Lists =  "", total)

"
Chương trình Python để tìm số lớn nhất và nhỏ nhất trong danh sách,"
NumList = []
Number = int(input(""Please enter the Total Number of List Elements: ""))
for i in range(1, Number + 1):
    value = int(input(""Please enter the Value of %d Element : "" %i))
    NumList.append(value)

smallest = largest = NumList[0]

for j in range(1, Number):
    if(smallest > NumList[j]):
        smallest = NumList[j]
        min_position = j
    if(largest < NumList[j]):
        largest = NumList[j]
        max_position = j

print(""The Smallest Element in this List is : "", smallest)
print(""The Index position of Smallest Element in this List is : "", min_position)
print(""The Largest Element in this List is : "", largest)
print(""The Index position of Largest Element in this List is : "", max_position)

"
Chương trình Palindrome Python sử dụng hàm," 
reverse = 0
def integer_reverse(number):
    global reverse
    
    if(number > 0):
        Reminder = number % 10
        reverse = (reverse * 10) + Reminder
        integer_reverse(number // 10)
    return reverse


number = int(input(""Please Enter any Number: ""))

rev = integer_reverse(number)
print(""Reverse of a Given number is = %d"" %rev)

if(number == rev):
    print(""%d is a Palindrome Number"" %number)
else:
    print(""%d is not a Palindrome Number"" %number)

"
Chương trình Python để hoán đổi hai số," 
a = float(input("" Please Enter the First Value a: ""))
b = float(input("" Please Enter the Second Value b: ""))

print(""Before Swapping two Number: a = {0} and b = {1}"".format(a, b))

temp = a
a = b
b = temp

print(""After Swapping two Number: a = {0} and b = {1}"".format(a, b))

"
Chương trình Python để nối chuỗi,"
str1 = input(""Please Enter the First  String : "")
str2 = input(""Please Enter the Second String : "")

concat1 = str1 + str2
print(""The Final String After Python String Concatenation = "", concat1)

concat2 = str1 + ' ' + str2
print(""The Final After String Concatenation with Space = "", concat2)

"
Chương trình Python để tìm số lớn nhất trong ba số,"
a = float(input(""Please Enter the First value: ""))
b = float(input(""Please Enter the First value: ""))
c = float(input(""Please Enter the First value: ""))

if (a > b and a > c):
          print(""{0} is Greater Than both {1} and {2}"". format(a, b, c))
elif (b > a and b > c):
          print(""{0} is Greater Than both {1} and {2}"". format(b, a, c))
elif (c > a and c > b):
          print(""{0} is Greater Than both {1} and {2}"". format(c, a, b))
else:
          print(""Either any two values or all the three values are equal"")

"
"Chương trình Python để tìm Đường kính, Chu vi và Diện tích Hình tròn","import math

def find_Diameter(radius):
    return 2 * radius

def find_Circumference(radius):
    return 2 * math.pi * radius

def find_Area(radius):
    return math.pi * radius * radius

r = float(input(' Please Enter the radius of a circle: '))

diameter = find_Diameter(r)
circumference = find_Circumference(r)
area = find_Area(r)

print(""\n Diameter Of a Circle = %.2f"" %diameter)
print("" Circumference Of a Circle = %.2f"" %circumference)
print("" Area Of a Circle = %.2f"" %area)

"
Chương trình Python để chuyển đổi chuỗi thành chữ hoa," 
string = input(""Please Enter your Own String : "")

string1 = string.upper()
 
print(""\nOriginal String in Lowercase  =  "", string)
print(""The Given String in Uppercase =  "", string1)

"
Chương trình Python để tính lãi đơn giản,"
princ_amount = float(input("" Please Enter the Principal Amount : ""))
rate_of_int = float(input("" Please Enter the Rate Of Interest   : ""))
time_period = float(input("" Please Enter Time period in Years   : ""))

simple_interest = (princ_amount * rate_of_int * time_period) / 100

print(""\nSimple Interest for Principal Amount {0} = {1}"".format(princ_amount, simple_interest))

"
Chương trình Python để ánh xạ hai danh sách vào một từ điển,"
keys = ['name', 'age', 'job']
values = ['John', 25, 'Developer']

myDict = {k: v for k, v in zip(keys, values)}
print(""Dictionary Items  :  "",  myDict)

"
viết hàm Python để tính thể tích xi lanh,"def volume(r, h): 
    vol = 22/7 * r * r * h 
    return vol

"
Hàm đệ quy Python giải tháp Hà Nội,"def TowerOfHanoi(n , source, destination, auxiliary): 
    if n==1: 
        print ""Move disk 1 from source"",source,""to destination"",destination 
        return
    TowerOfHanoi(n-1, source, auxiliary, destination) 
    print ""Move disk"",n,""from source"",source,""to destination"",destination 
    TowerOfHanoi(n-1, auxiliary, destination, source) 

n = 4
TowerOfHanoi(n,'A','B','C') 

  
"
Hàm python tìm góc giữa kim giờ và kim phút,"def calcAngle(hh, mm): 
    hour_angle = 0.5 * (hh * 60 + mm) 
    minute_angle = 6 * mm 

    angle = abs(hour_angle - minute_angle) 

    angle = min(360 - angle, angle) 
  
    return angle 
  
"
Hàm python in mọi lúc khi góc giữa kim giờ và kim phút là theta,"def printTime(theta): 
  
    for hh in range(0, 12): 
        for mm in range(0, 60): 
            if (calcAngle(hh, mm)==theta): 
                print(hh, "":"", mm, sep = """") 
                return
              
    print(""Input angle not valid."") 
    return

"
viết chương trình Python để đảo ngược danh sách liên kết,"
class Node: 

    def __init__(self, data): 
        self.data = data 
        self.next = None

class LinkedList: 

    def __init__(self): 
        self.head = None

    def reverse(self): 
        prev = None
        current = self.head 
        while(current is not None): 
            next = current.next
            current.next = prev 
            prev = current 
            current = next
        self.head = prev 
        
    def push(self, new_data): 
        new_node = Node(new_data) 
        new_node.next = self.head 
        self.head = new_node 

    def printList(self): 
        temp = self.head 
        while(temp): 
            print(temp.data)
            temp = temp.next


llist = LinkedList() 
llist.push(20) 
llist.push(4) 
llist.push(15) 
llist.push(85) 

print(""Given Linked List"")
llist.printList() 
llist.reverse() 
print(""\nReversed Linked List"")
llist.printList() 

"
viết hàm Python để xóa tất cả các bản sao khỏi một chuỗi nhất định,"def removeDuplicate(str): 
    s=set(str) 
    s="""".join(s) 
    print(""Without Order:"",s) 
    t="""" 
    for i in str: 
        if(i in t): 
            pass
        else: 
            t=t+i 
    print(""With Order:"",t) 
    
str1=""conondrum""
removeDuplicate(str1) 

from .sin import sine
from .cos import cosine
from .tan import tangent
from .softmax import softmax
from .sigmoid import sigmoid
from .tanh import tanh
from .relu import ReLU
from .log import log
from .exp import exp

from .sin import dsine
from .cos import dcosine
from .tan import dtangent
from .sigmoid import dsigmoid
from .tanh import dtanh
from .log import dlog
from .exp import dexp

import math

"
hàm python để tìm góc cosin,"def cosine(angle):

    return math.cos(angle)

"
Hàm python để tìm đạo hàm của góc cosin,"def dcosine(angle):

    return -math.sin(angle)

"
hàm python để tìm góc sin,"def sine(angle):

    return math.sin(angle)

"
hàm python để tìm đạo hàm của góc sin,"def dsine(angle):

    return math.cos(angle)

"
hàm python để tìm góc tiếp tuyến,"def tangent(angle):


  return math.tan(angle)

"
Hàm python để tìm đạo hàm của góc tiếp tuyến,"def dtangent(angle):


  return 1/(math.cos(angle)**2)

"
Hàm python để tìm số mũ của một số,"def exp(x):


  return math.exp(x)

"
Hàm python để tìm đạo hàm số mũ của một số,"def dexp(x):

    return math.exp(x)

"
Hàm python để tìm giá trị logarit của một số,"def log(x):


  return math.log(x)

"
Hàm python để tìm đạo hàm logarit của một số,"def dlog(x):

    return 1/x

"
Hàm python để tìm đầu ra softmax của vectơ,"
def softmax(x):


  if(type(x) == int or type(x) == float):

    return 1

  denom = 0

  for i in x:

    denom+=math.exp(i)

  new_vec = []

  for i in x:

    new_vec.append(math.exp(i)/denom)

  return new_vec
  
"
Hàm python để tìm giá trị tiếp tuyến hyperbol của một số,"def tanh(x):
  return math.tanh(x)

"
Hàm python để tìm đạo hàm của giá trị tiếp tuyến hyperbol của một số,"def dtanh(x):
  return 1 - (math.tanh(x)**2)

"
viết hàm python để kiểm tra xem một chuỗi đã cho có phải là một bảng màu không,"
def isPalindrome(s):
    return s == s[::-1]

"
viết hàm python để kiểm tra xem một chuỗi đã cho có đối xứng không,"
def symmetry(a): 
      
    n = len(a) 
    flag = 0
      
    if n%2: 
        mid = n//2 +1
    else: 
        mid = n//2
          
    start1 = 0
    start2 = mid 
      
    while(start1 < mid and start2 < n): 
          
        if (a[start1]== a[start2]): 
            start1 = start1 + 1
            start2 = start2 + 1
        else: 
            flag = 1
            break
       
    return flag

"
viết hàm đảo ngược các từ trong chuỗi,"
def rev_sentence(sentence):  
  
    words = sentence.split(' ')  
  
    reverse_sentence = ' '.join(reversed(words))  
  
    return reverse_sentence 

"
viết chương trình kiểm tra xem chuỗi con có tồn tại trong chuỗi đã cho không,"
string = ""how are you?""
substring = ""are""
if (string.find(substring) == -1): 
    print(""NO"") 
else: 
    print(""YES"")  

"
viết chương trình in ra độ dài của một chuỗi,"
str1 = ""great way to learn!""
print(len(str1))

"
viết chương trình in ra tần số các từ trong một chuỗi cho trước,"
test_str = ""It is a great meal at a great restaurant on a great day""
print(""Original String: "" + str(test_str))
res = {key: test_str.count(key) for key in test_str.split()} 
print(""The words frequency: "" + str(res))

"
viết chương trình in các từ có độ dài chẵn trong một chuỗi,"
str1 = ""I am doing fine""
s = str1.split(' ')
for word in s:  
    if len(word)%2==0: 
        print(word)  

"
viết chương trình nhập chuỗi chứa tất cả các nguyên âm,"
str1 = ""__main__""
if len(set(str1).intersection(""AEIOUaeiou""))>=5: 
  print('accepted') 
else: 
  print(""not accepted"") 

"
viết chương trình in ra số lượng ký tự trùng khớp duy nhất trong một cặp chuỗi,"
str1=""ababccd12@""
str2=""bb123cca1@""

matched_chars = set(str1) & set(str2) 
print(""No. of matching characters are : "" + str(len(matched_chars)) )

"
viết chương trình loại bỏ tất cả các ký tự trùng lặp trong một chuỗi,"
str1 = ""what a great day!""
print("""".join(set(str1)))

"
viết chương trình in ký tự ít thường xuyên nhất trong một chuỗi,"
str1=""watch the match""
all_freq = {} 
for i in str1: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = min(all_freq, key = all_freq.get)
print(""Minimum of all characters is: "" + str(res))

"
viết chương trình in ký tự có tần số lớn nhất trong một chuỗi,"
str1 = ""watch the match""
all_freq = {} 
for i in str1: 
    if i in all_freq: 
        all_freq[i] += 1
    else: 
        all_freq[i] = 1
res = max(all_freq, key = all_freq.get)
print(""Maximum of all characters is: "" + str(res))

"
viết chương trình tìm và in tất cả các từ có độ dài nhỏ hơn độ dài cho trước trong một chuỗi,"
str1 = ""It is wonderful and sunny day for a picnic in the park""
str_len = 5

res_str = [] 
      
text = str1.split("" "") 
      
for x in text: 

    if len(x) < str_len: 
        res_str.append(x) 

print(""Words that are less than "" + str(str_len) + "": "" + str(res_str))

"
viết chương trình tách và nối một chuỗi có dấu gạch nối phân cách,"
str1 = ""part of speech""
delimiter = ""-""

list_str = str1.split("" "")

new_str = delimiter.join(list_str)

print(""Delimited String is: "" + new_str)

"
viết chương trình kiểm tra chuỗi có phải là nhị phân hay không,"
str1=""01110011 a""

set1 = set(str1)

if set1 == {'0','1'} or set1 == {'0'} or set1 == {'1'}:
    print(""string is binary"")
else:
    print(""string is not binary"")

"
viết hàm để loại bỏ ký tự được lập chỉ mục thứ i trong một chuỗi đã cho,"
def remove_char(string, i):

    str1 = string[ : i]  

    str2 = string[i + 1: ] 
      
    return str1 + str2 

"
viết hàm tìm tất cả các url trong một chuỗi nhất định,"
import re 
  
def find_urls(string): 
   
    regex = r""(?i)\b((?:https?://|www\d{0,3}[.]|[a-z0-9.\-]+[.][a-z]{2,4}/)(?:[^\s()<>]+|\(([^\s()<>]+|(\([^\s()<>]+\)))*\))+(?:\(([^\s()<>]+|(\([^\s()<>]+\)))*\)|[^\s`!()\[\]{};:'\"".,<>?«»“”‘’]))""
    url = re.findall(regex,string)       
    return [x[0] for x in url] 

"
viết hàm tìm các từ không phổ biến trong hai chuỗi,"
def UncommonWords(str1, str2): 
  
    count = {} 
      
    for word in str1.split(): 
        count[word] = count.get(word, 0) + 1
      
    for word in str2.split(): 
        count[word] = count.get(word, 0) + 1
  
    return [word for word in count if count[word] == 1]

"
viết hàm tìm các từ chung trong hai chuỗi,"
def commonWords(str1, str2): 
  
    count = {} 
      
    for word in str1.split(): 
        count[word] = count.get(word, 0) + 1
      
    for word in str2.split(): 
        count[word] = count.get(word, 0) + 1
  
    return [word for word in count if count[word] > 1]

"
viết chương trình thay thế các từ trùng lặp trong chuỗi,"
str1 = ""IISC is the best. IISC has Classes in the evening for professionals. Classes help to learn new things.""

repl_dict = {'IISC':'It', 'Classes': 'They'}

str_list = str1.split(' ') 

res = set() 

for idx, ele in enumerate(str_list): 
    if ele in repl_dict: 
        print(str(idx) + '  '+ele)
        if ele in res: 
            str_list[idx] = repl_dict[ele] 
        else: 
            res.add(ele)

res = ' '.join(str_list)

print(""Replaced String: "" + str(res))

"
viết chương trình thay thế nhiều từ bằng một từ duy nhất,"
str1 = 'CoffeeDay is best for coffee and having long conversations'
  
word_list = [""best"", 'long'] 
  
repl_word = 'good'
  
res = ' '.join([repl_word if idx in word_list else idx for idx in str1.split()]) 

print(""String after multiple replace : "" + str(res))

"
viết hàm xoay chuỗi sang trái theo độ dài cho trước,"  
def rotate_left(input,d):  
  
    Lfirst = input[0 : d]  
    Lsecond = input[d :]  
    return (Lsecond + Lfirst) 

"
viết hàm xoay chuỗi sang phải theo độ dài cho trước,"
def rotate_right(input,d):  
  
    Rfirst = input[0 : len(input)-d]  
    Rsecond = input[len(input)-d : ]  
    return (Rsecond + Rfirst) 

"
viết hàm thay thế tất cả các lần xuất hiện của chuỗi con trong chuỗi,"
str1 = ""Hello! It is a Good thing""
substr1 = ""Good""
substr2 = ""bad""

replaced_str = str1.replace(substr1, substr2)

print(""String after replace :"" + str(replaced_str))

"
viết chương trình di chuyển số về cuối chuỗi,"
str1 = 'hi 123 how are you doing? 567 is with you. Take care of 89'
  
res = '' 
dig = '' 

for ele in str1: 
    if ele.isdigit(): 
        dig += ele 
    else: 
        res += ele 
  
res += dig 

print(""Strings after digits at end : "" + str(res))

"
viết chương trình đếm các ký tự xung quanh nguyên âm,"
str1 = 'week after week the numbers are increasing'
  
res = 0
vow_list = ['a', 'e', 'i', 'o', 'u']

for idx in range(1, len(str1) - 1): 

    if str1[idx] not in vow_list and (str1[idx - 1] in vow_list or str1[idx + 1] in vow_list): 
        res += 1
  
if str1[0] not in vow_list and str1[1] in vow_list: 
    res += 1
  
if str1[-1] not in vow_list and str1[-2] in vow_list: 
    res += 1

print(""Characters around vowels count : "" + str(res))

"
viết hàm trả về số khoảng trống," 
def count_space(str1): 

    count = 0
      
    for i in range(0, len(str1)): 

        if str1[i] == "" "": 
            count += 1
          
    return count

"
viết chương trình chia chuỗi thành các phần tử riêng lẻ,"
str1 = ""whatisthis""
  
split_string = list(''.join(str1)) 
  
print(split_string) 

"
viết chương trình trích xuất chuỗi có kích thước N và có K ký tự phân biệt,"
str1 = 'GoodisalwaysGoood'
  
N = 3
  
K = 2
  
res = [] 

for idx in range(0, len(str1) - N + 1): 

    if (len(set(str1[idx: idx + N])) == K): 
        res.append(str1[idx: idx + N]) 
  
print(""Extracted Strings : "" + str(res)) 

"
viết chương trình tăng số ở cuối chuỗi,"
import re 
  
str1 = 'count001'

res = re.sub(r'[0-9]+$', 
             lambda x: f""{str(int(x.group())+1).zfill(len(x.group()))}"",  
             str1) 
      
print(""Incremented numeric String : "" + str(res))

"
viết chương trình tính và in số chữ cái và chữ số trong một chuỗi,"
str1 = ""python1234""
  
total_digits = 0
total_letters = 0
  
for s in str1: 
  
    if s.isnumeric(): 
        total_digits += 1
    else: 
        total_letters += 1
  
print(""Total letters found : "", total_letters) 
print(""Total digits found : "", total_digits) 

"
viết hàm kiểm tra xem có chữ cái viết thường trong chuỗi đã cho không,"
def check_lower(str1):
    
    for char in str1: 
        k = char.islower()   
        if k == True: 
            return True 
    if(k != 1): 
        return False

"
viết hàm kiểm tra xem một chuỗi có tồn tại chữ hoa hay không,"
def check_upper(str1):
    
    for char in str1: 
        k = char.isupper()   
        if k == True: 
            return True
    if(k != 1): 
        return False

"
viết chương trình in số từ trong một chuỗi,"
str1 = 'It is a glorious day'

res = len(str1.split()) 
  
print(""The number of words in string are : "" + str(res)) 

"
viết chương trình in số ký tự trong một chuỗi,"
str1 = 'It is a glorious day'

res = len(str1) 

print(""The number of characters in string are : "", str(res)) 



"
viết một hàm chấp nhận hai danh sách có độ dài bằng nhau và chuyển đổi chúng thành một danh sách từ điển,"def list_to_dict(list1, list2):
  return dict(zip(list1, list2))

"
viết một hàm python chấp nhận danh sách từ điển và sắp xếp nó theo một khóa được chỉ định,"def sort_dict_list(dict_list, sort_key):
  dict_list.sort(key=lambda item: item.get(sort_key))

"
viết chương trình in khóa dài nhất trong từ điển,"dict_1 = {""key1"": 10, ""keeeey2"": 2, ""ky3"": 30}
max_key=''
for key in dict_1:
  if len(key)>len(max_key):
    max_key=key
print(max_key)

"
viết chương trình viết hoa ký tự đầu tiên và cuối cùng của mỗi khóa trong từ điển,"input_dict = {'key_a': 10, 'kEy': 2, 'Key_B': 13}
for key in list(input_dict.keys()):
  new_key = key[0].upper() + key[1:-1] + key[-1].upper()
  input_dict[new_key] = input_dict[key]
  if key != new_key:
    del input_dict[key]

"
"viết chương trình lặp lại từ điển và in ""Bingo!"" nếu độ dài của giá trị lớn hơn độ dài của khóa. Nếu không thì in ""no bingo""","key_val_map = {""key1"": ""length1"", ""key2"": ""len2"", ""Hello"": ""hi"", ""bingo"": ""print bingo""}
for key, val in key_val_map.items():
  if len(val) > len(key):
    print(""Bingo!"")
  else:
    print(""no bingo"")

"
viết hàm python chấp nhận một từ điển có các giá trị duy nhất và trả về sự đảo ngược của nó,"def invert_dict(input_dict):
  my_inverted_dict = {value: key for key, value in input_dict.items()}
  return my_inverted_dict

"
viết hàm đảo ngược một từ điển có các giá trị không duy nhất. Các khóa ánh xạ tới cùng một giá trị sẽ được thêm vào danh sách trong từ điển đảo ngược,"def invert_dict_non_unique(my_dict):
  my_inverted_dict = dict()
  for key, value in my_dict.items():
      my_inverted_dict.setdefault(value, list()).append(key)
  return my_inverted_dict

"
viết chương trình hợp nhất một danh sách từ điển thành một từ điển duy nhất bằng cách hiểu từ điển,"input = [{""foo"": ""bar"", ""Hello"": ""World""},
         {""key1"": ""val1"", ""key2"": ""val2""},
         {""sample_key"": ""sample_val""}]
merged_dict = {key: value for d in input for key, value in d.items()}

"
viết hàm trả về chênh lệch trung bình về độ dài của khóa và giá trị của từ điển chỉ bao gồm các chuỗi.,"def mean_key_val_diff(input_dict):
  sum_diff = 0
  for key, val in input_dict.items():
    sum_diff += abs(len(val) - len(key))
  return sum_diff/len(input_dict)

"
viết chương trình in số lượng khóa duy nhất trong danh sách từ điển.,"list_of_dicts = [{""key1"": ""val1"", ""Country"": ""India""}, 
                 {""Country"": ""USA"", ""foo"": ""bar""},
                 {""foo"": ""bar"", ""foo2"":""bar2""}]
unique_keys = []
for d in list_of_dicts:
  for key in d:
    if key not in unique_keys:
      unique_keys.append(key)
print(f""Number of unique keys: {len(unique_keys)}"")

"
viết chương trình Python để thay thế giá trị của một khóa cụ thể bằng chỉ số giá trị thứ n nếu giá trị của khóa là danh sách.,"test_list = [{'tsai': [5, 3, 9, 1], 'is': 8, 'good': 10}, 
             {'tsai': 1, 'for': 10, 'geeks': 9}, 
             {'love': 4, 'tsai': [7, 3, 22, 1]}]   
N = 2
key = ""tsai""  
for sub in test_list: 
    if isinstance(sub[key], list): 
        sub[key] = sub[key][N]

"
viết chương trình chuyển đổi danh sách giá trị từ điển sang danh sách từ điển và in nó.,"test_list = [{'END' : [5, 6, 5]}, {'is' : [10, 2, 3]}, {'best' : [4, 3, 1]}] 
res =[{} for idx in range(len(test_list))] 
idx = 0
for sub in test_list: 
    for key, val in sub.items(): 
        for ele in val: 
            res[idx][key] = ele 
            idx += 1
        idx = 0
print(""Records after conversion : "" + str(res))

"
viết chương trình chuyển đổi danh sách từ điển thành danh sách bộ dữ liệu và in nó.,"ini_list = [{'a':[1, 2, 3], 'b':[4, 5, 6]}, 
            {'c':[7, 8, 9], 'd':[10, 11, 12]}] 
temp_dict = {} 
result = [] 
for ini_dict in ini_list: 
    for key in ini_dict.keys(): 
         if key in temp_dict: 
             temp_dict[key] += ini_dict[key] 
         else: 
             temp_dict[key] = ini_dict[key]   
for key in temp_dict.keys(): 
     result.append(tuple([key] + temp_dict[key])) 
print(""Resultant list of tuples: {}"".format(result))

"
viết chương trình phân loại các giá trị bộ dựa trên phần tử thứ hai và in danh sách giá trị từ điển trong đó mỗi khóa là một danh mục.,"test_list = [(1, 3), (1, 4), (2, 3), (3, 2), (5, 3), (6, 4)] 
res = {} 
for i, j in test_list: 
     res.setdefault(j, []).append(i) 
print(""The dictionary converted from tuple list : "" + str(res))

"
viết chương trình Python3 in một sản phẩm thông minh chỉ mục của Từ điển các giá trị Tuple,"test_dict = {'END Program' : (5, 6, 1), 'is' : (8, 3, 2), 'best' : (1, 4, 9)}
prod_list=[]
for x in zip(*test_dict.values()):
  res = 1 
  for ele in x: 
      res *= ele
  prod_list.append(res)
res = tuple(prod_list) 
print(""The product from each index is : "" + str(res))

"
viết chương trình vào Pretty In một từ điển có các giá trị từ điển.,"test_dict = {'tsai' : {'rate' : 5, 'remark' : 'good'}, 'cs' : {'rate' : 3}} 
print(""The Pretty Print dictionary is : "") 
for sub in test_dict: 
    print(f""\n{sub}"") 
    for sub_nest in test_dict[sub]: 
        print(sub_nest, ':', test_dict[sub][sub_nest])

"
viết chương trình sắp xếp một từ điển lồng nhau theo một khóa và in từ điển đã sắp xếp,"test_dict = {'Nikhil' : { 'roll' : 24, 'marks' : 17}, 
             'Akshat' : {'roll' : 54, 'marks' : 12},  
             'Akash' : { 'roll' : 12, 'marks' : 15}} 
sort_key = 'marks'
res = sorted(test_dict.items(), key = lambda x: x[1][sort_key]) 
print(""The sorted dictionary by marks is : "" + str(res))

"
viết hàm python để kết hợp ba danh sách có độ dài bằng nhau vào một từ điển lồng nhau và trả về nó,"def lists_to_dict(test_list1, test_list2, test_list3):
  res = [{a: {b: c}} for (a, b, c) in zip(test_list1, test_list2, test_list3)] 
  return res

"
viết chương trình in các khóa trong từ điển có giá trị lớn hơn giá trị đầu vào cho trước.,"test_dict = {'tsai' : 4, 'random_key' : 2, 'foo' : 3, 'bar' : 'END'} 
K = 3
res = {key : val for key, val in test_dict.items() 
                   if type(val) != int or val > K} 
print(""Values greater than K : "", res.keys())

"
viết hàm chuyển đổi từ điển số nguyên thành danh sách các bộ dữ liệu.,"def dict_to_tuple(input_dict):
  out_tuple = [(a, b) for a,b in input_dict.items()]
  return out_tuple

"
viết hàm python để trả về một từ điển phẳng từ đầu vào từ điển lồng nhau,"def flatten_dict(dd, separator ='_', prefix =''): 
    flattened =  { prefix + separator + k if prefix else k : v 
             for kk, vv in dd.items() 
             for k, v in flatten_dict(vv, separator, kk).items() 
             } if isinstance(dd, dict) else { prefix : dd } 
    return flattened

"
viết chương trình in từ điển có khóa của từ điển thứ nhất và giá trị của từ điển thứ hai,"test_dict1 = {""tsai"" : 20, ""is"" : 36, ""best"" : 100} 
test_dict2 = {""tsai2"" : 26, ""is2"" : 19, ""best2"" : 70} 
keys1 = list(test_dict1.keys()) 
vals2 = list(test_dict2.values()) 
res = dict() 
for idx in range(len(keys1)): 
    res[keys1[idx]] = vals2[idx] 
print(""Mapped dictionary : "" + str(res))

"
viết chương trình kết hợp hai từ điển bằng từ điển ưu tiên và in từ điển kết hợp mới.,"test_dict1 = {'Gfg' : 1, 'is' : 2, 'best' : 3} 
test_dict2 = {'Gfg' : 4, 'is' : 10, 'for' : 7, 'geeks' : 12} 
prio_dict = {1 : test_dict2, 2: test_dict1} 
res = prio_dict[2].copy() 
for key, val in prio_dict[1].items(): 
    res[key] = val 
print(""The dictionary after combination : "" + str(res))

"
viết chương trình Python để kết hợp hai từ điển bằng cách thêm các giá trị cho các khóa chung,"dict1 = {'a': 12, 'for': 25, 'c': 9} 
dict2 = {'Geeks': 100, 'geek': 200, 'for': 300} 
for key in dict2: 
    if key in dict1: 
        dict2[key] = dict2[key] + dict1[key] 
    else: 
        pass

"
viết chương trình Python sắp xếp các khóa từ điển vào danh sách bằng cách sử dụng các giá trị của chúng và in danh sách này.,"test_dict = {'Geeks' : 2, 'for' : 1, 'CS' : 3} 
res = list(sum(sorted(test_dict.items(), key = lambda x:x[1]), ())) 
print(""List after conversion from dictionary : "", res)

"
